Field,Women,Men,WomenCum,MenCum
"Earth, atmospheric, and ocean sciences",411,522,411,522
Agricultural sciences,639,706,1050,1228
Psychology,3117,1208,4167,2436
Mathematics and statistics,563,1450,4730,3886
Computer sciences,426,1548,5156,5434
Social sciences,2641,2575,7797,8009
Physical sciences,1691,3513,9488,11522
Biological sciences,4308,3788,13796,15310
