Field,Women,Men,WomenCum,MenCum
Industrial engineering,103,294,103,294
Aerospace engineering,42,305,145,599
Materials engineering,251,640,396,1239
Civil engineering,396,836,792,2075
Chemical engineering,348,863,1140,2938
Mechanical engineering,255,1410,1395,4348
Other ,802,1686,2197,6034
Electrical engineering,489,2231,2686,8265
